city,longitude,latitude,temperature,min_temp,max_temp,humidity,pressure,wind_speed,weather_description,Country,date
Tokyo,139.6917,35.6895,22.3,19.88,22.79,73,1014,4.12,Clouds,JP,2026-05-20 02:49:47.322104
São Paulo,-46.6361,-23.5475,17.15,16.75,17.83,91,1022,3.6,Clouds,BR,2026-05-20 02:49:47.322104
Toronto,-79.4163,43.7001,26.92,24.06,30.06,61,1011,12.35,Clouds,CA,2026-05-20 02:49:47.322104
Sydney,151.2073,-33.8679,10.37,9.5,12.57,88,1016,4.36,Clouds,AU,2026-05-20 02:49:47.323161
Cairo,31.2497,30.0626,24.42,24.12,24.42,29,1013,5.66,Clear,EG,2026-05-20 02:49:47.323161
Munich,11.5755,48.1374,12.7,11.36,13.58,79,1021,2.45,Clouds,DE,2026-05-20 02:49:47.323161
Cape Town,18.4232,-33.9258,17.58,16.44,17.93,80,1019,5.36,Clouds,ZA,2026-05-20 02:49:47.323161
Mumbai,72.8479,19.0144,28.99,28.99,28.99,74,1006,3.6,Haze,IN,2026-05-20 02:49:47.323161
Arrondissement de Marseille,5.5,43.3333,14.32,13.7,15.2,68,1020,2.65,Clouds,FR,2026-05-20 02:49:47.324160
Buenos Aires,-58.3772,-34.6132,15.17,13.8,15.99,51,1021,1.54,Clear,AR,2026-05-20 02:49:47.324160
Busan,129.0403,35.1028,17.99,17.99,17.99,88,1011,3.6,Clouds,KR,2026-05-20 02:49:47.324160
Guadalajara,-103.3333,20.6667,32.87,32.87,32.87,19,1009,2.57,Clouds,MX,2026-05-20 02:49:47.324160
Milan,9.1895,45.4643,17.49,15.64,18.89,68,1019,0.51,Clouds,IT,2026-05-20 02:49:47.325160
Auckland,174.7667,-36.8667,13.81,12.45,14.91,61,1027,1.34,Clear,NZ,2026-05-20 02:49:47.325160
Mombasa,39.6636,-4.0547,26.2,26.2,26.2,79,1014,6.94,Clear,KE,2026-05-20 02:49:47.325160
Barcelona,2.159,41.3888,18.45,17.84,19.05,70,1023,1.54,Clouds,ES,2026-05-20 02:49:47.325160
Turan,108.2208,16.0678,26.99,26.99,26.99,89,1004,1.54,Clear,VN,2026-05-20 02:49:47.325160
Medellín,-75.5636,6.2518,22.44,20.79,23.15,73,1011,3.58,Clouds,CO,2026-05-20 02:49:47.326160
Bergen,5.328,60.392,11.23,10.5,11.23,82,1014,1.54,Clear,NO,2026-05-20 02:49:47.326160
Marrakesh,-8.0083,31.6315,28.04,28.04,28.04,39,1017,4.63,Clear,MA,2026-05-20 02:49:47.326160
Istanbul,28.9833,41.0351,18.7,17.22,18.84,45,1010,4.12,Clear,TR,2026-05-20 02:49:47.326160
Cusco,-71.9781,-13.5183,22.13,22.13,22.13,17,1011,1.54,Clouds,PE,2026-05-20 02:49:47.327162
Chiang Mai,99.0,18.75,24.04,23.55,24.04,94,1003,1.54,Clouds,TH,2026-05-20 02:49:47.327162
Gothenburg,11.9668,57.7072,9.0,7.84,10.92,68,1018,0.0,Clear,SE,2026-05-20 02:49:47.327162
Valparaíso,-71.6273,-33.0393,14.31,9.8,14.31,63,1014,2.06,Mist,CL,2026-05-20 02:49:47.327162
